1, 1, 167, 293, 48, 153, -1, -1, -1, -1
1, 2, 399, 330, 79, 158, -1, -1, -1, -1
1, 3, 361, 150, 39, 104, -1, -1, -1, -1
1, 4, 203, 348, 66, 168, -1, -1, -1, -1
1, 5, 568, 157, 40, 116, -1, -1, -1, -1
1, 6, 466, 132, 31, 91, -1, -1, -1, -1
1, 7, 259, 119, 31, 92, -1, -1, -1, -1
1, 9, 437, 133, 33, 92, -1, -1, -1, -1
1, 10, 766, 166, 26, 70, -1, -1, -1, -1
1, 11, 735, 161, 38, 88, -1, -1, -1, -1
1, 12, 85, 179, 32, 84, -1, -1, -1, -1
2, 1, 166, 291, 48, 152, -1, -1, -1, -1
2, 2, 397, 330, 79, 160, -1, -1, -1, -1
2, 3, 361, 150, 39, 103, -1, -1, -1, -1
2, 4, 200, 348, 67, 170, -1, -1, -1, -1
2, 5, 573, 156, 40, 115, -1, -1, -1, -1
2, 6, 466, 130, 31, 91, -1, -1, -1, -1
2, 7, 260, 118, 31, 91, -1, -1, -1, -1
2, 9, 439, 133, 32, 89, -1, -1, -1, -1
2, 10, 767, 166, 25, 69, -1, -1, -1, -1
2, 11, 735, 163, 36, 85, -1, -1, -1, -1
2, 12, 86, 179, 32, 85, -1, -1, -1, -1
3, 1, 165, 291, 48, 152, -1, -1, -1, -1
3, 2, 398, 331, 79, 161, -1, -1, -1, -1
3, 3, 361, 149, 38, 103, -1, -1, -1, -1
3, 4, 198, 349, 67, 169, -1, -1, -1, -1
3, 5, 579, 161, 37, 105, -1, -1, -1, -1
3, 6, 467, 130, 31, 92, -1, -1, -1, -1
3, 7, 260, 117, 30, 89, -1, -1, -1, -1
3, 9, 439, 134, 30, 84, -1, -1, -1, -1
3, 10, 768, 165, 25, 68, -1, -1, -1, -1
3, 11, 737, 164, 36, 84, -1, -1, -1, -1
3, 12, 86, 180, 32, 86, -1, -1, -1, -1
4, 1, 164, 290, 48, 152, -1, -1, -1, -1
4, 2, 399, 332, 79, 162, -1, -1, -1, -1
4, 3, 362, 149, 39, 103, -1, -1, -1, -1
4, 4, 196, 352, 67, 169, -1, -1, -1, -1
4, 5, 584, 165, 35, 99, -1, -1, -1, -1
4, 6, 468, 129, 31, 93, -1, -1, -1, -1
4, 7, 261, 118, 31, 90, -1, -1, -1, -1
4, 9, 441, 132, 32, 89, -1, -1, -1, -1
4, 10, 770, 166, 26, 71, -1, -1, -1, -1
4, 11, 739, 164, 36, 84, -1, -1, -1, -1
4, 12, 86, 180, 33, 88, -1, -1, -1, -1
4, 13, 200, 144, 29, 100, -1, -1, -1, -1
5, 1, 163, 289, 48, 151, -1, -1, -1, -1
5, 2, 397, 332, 79, 164, -1, -1, -1, -1
5, 3, 362, 150, 38, 102, -1, -1, -1, -1
5, 4, 178, 333, 82, 211, -1, -1, -1, -1
5, 5, 585, 167, 36, 96, -1, -1, -1, -1
5, 6, 469, 129, 32, 94, -1, -1, -1, -1
5, 7, 263, 117, 31, 90, -1, -1, -1, -1
5, 9, 443, 130, 34, 94, -1, -1, -1, -1
5, 10, 772, 167, 27, 73, -1, -1, -1, -1
